bleed_rate_high	HIGH
mission_wm_13_missionitem_02_header	Fredrik's note to Olle
player_character_part_name_shoes_01_f	High top sneakers, white/blue socks
collectable_gnome_10_papa_desc	A wise and father-like village elder. He's much, much older than any of the other gnomes, but gets irritated when you point it out.
ach_041_name	Looking For Answers
organ_drive_hydraulic	HYDRAULIC PUMP
pausemenu_exit_to_desktop	EXIT TO DESKTOP
ammo_12ga_slug_name	12ga Slug Ammo
worldmission_gc_2summary	This island is not safe. Try to find some help in the nearby farm, maybe they can call for a rescue party.
in_game_menu_inventory	INVENTORY
codex_play_stats	PLAY STATS
mission_im_02_missionitem_01_header	Whiteboard message
equipment_sight_ba_rifle_223_illuminated_iron_name_short	223 Iron
warboardmission_payback02_obj_03	Search for any information about the events of the attack
location_southcoast_hisinganaset_villa_kaseberg	Kaseberg
worldmission11_obj02	Look for clues around the village
mission_wm_20_missionitem_01_header	World Mission 20 - Mission item 1 header
player_character_part_name_pants_08	Military pants
map_legend_tooltip_header	MAP LEGEND
worldmission12_info_name	At Death's Door
worldmission13_info_name	Safe Harbor
player_character_part_name_jacket_01_b	Flight jacket, dark brown
key_pc_mouse1_2	LEFT CLICK
collectable_mixtape_19_char_anita_desc	Guilty Pleasure Songs (spela ENDAST vid nödsituation)
popup_connection_failed_no_internet_ps4	Your connection to the internet has been lost. Cannot connect to PlayStation™Network. Check your connection settings and try again.
intromission01_huntermate_description	This place is not safe. Maybe you can find some help in the nearby house.
mission_sm_sd_missionitem_01_content	descr1
popup_header_unknown_error	Unknown Error
ach_016_description	Kill 20 machines with rifles.
action_interact	INTERACT
player_character_sub_category_name_pants_09	Short pleated skirt
mission_wm_44_missionitem_02_content	World Mission 44 - Mission item 2 content
player_character_facepaint_name_military	Camo
warboard_southcoast_04_obj_01_3	Use the IFF keys to enter the bunker
worldmission_bcd_obj02	Look for information about what's going on
skills_cost	COST:
mission_wb_am_02_missionitem_03_header	Newspaper at Veronika's house
popup_header_mp_connection_failed_full	Connection Failed
interface_repair	REPAIR
location_farmlands_ruins_farstaborg_01	Farstaborg
nest_poi_description	Unknown signal interference
interface_wouldyouliketoknowmore	READ MORE
ach_040_description	Climb to the top of 3 unique lighthouses.
player_character_part_name_jacket_09_a	Jeans jacket, blue/white
ach_015_name	Commando
playerstat_animals_spotted	UNIQUE ANIMALS SPOTTED
